Date,Team 1,FT,HT,Team 2,Season
Mon Dec 27 2021,Kayserispor,3-0,3-0,Sivasspor,2021-22
Mon Dec 27 2021,Konyaspor,1-0,0-0,Besiktas,2021-22
Fri Jan 7 2022,Trabzonspor,1-0,1-0,Yeni Malatyaspor,2021-22
Sat Jan 8 2022,Gaziantep,3-1,2-0,Karagumruk,2021-22
Sat Jan 8 2022,Alanyaspor,1-1,1-1,Buyuksehyr,2021-22
Sat Jan 8 2022,Kasimpasa,3-1,2-0,Hatayspor,2021-22
Sat Jan 8 2022,Galatasaray,0-1,0-1,Giresunspor,2021-22
Sun Jan 9 2022,Konyaspor,0-1,0-0,Sivasspor,2021-22
Sun Jan 9 2022,Goztep,4-0,1-0,Antalyaspor,2021-22
Sun Jan 9 2022,Kayserispor,1-0,1-0,Altay,2021-22
Sun Jan 9 2022,Rizespor,2-2,0-1,Besiktas,2021-22
Mon Jan 10 2022,Fenerbahce,1-2,1-1,Ad. Demirspor,2021-22
Fri Jan 14 2022,Besiktas,1-0,0-0,Gaziantep,2021-22
Fri Jan 14 2022,Yeni Malatyaspor,1-2,1-1,Goztep,2021-22
Sat Jan 15 2022,Ad. Demirspor,1-1,1-0,Kayserispor,2021-22
Sat Jan 15 2022,Karagumruk,2-0,1-0,Rizespor,2021-22
Sat Jan 15 2022,Sivasspor,1-1,1-1,Trabzonspor,2021-22
Sat Jan 15 2022,Antalyaspor,1-1,0-0,Fenerbahce,2021-22
Sun Jan 16 2022,Altay,0-2,0-1,Alanyaspor,2021-22
Sun Jan 16 2022,Giresunspor,0-2,0-1,Kasimpasa,2021-22
Sun Jan 16 2022,Hatayspor,4-2,1-2,Galatasaray,2021-22
Tue Jan 18 2022,Karagumruk,0-1,0-1,Besiktas,2021-22
Tue Jan 18 2022,Konyaspor,1-0,0-0,Ad. Demirspor,2021-22
Wed Jan 19 2022,Goztep,2-1,1-0,Sivasspor,2021-22
Wed Jan 19 2022,Kayserispor,1-0,0-0,Buyuksehyr,2021-22
Wed Jan 19 2022,Fenerbahce,2-1,1-1,Altay,2021-22
Wed Jan 19 2022,Trabzonspor,1-1,0-0,Giresunspor,2021-22
Thu Jan 20 2022,Alanyaspor,6-0,2-0,Hatayspor,2021-22
Thu Jan 20 2022,Rizespor,2-1,1-1,Antalyaspor,2021-22
Thu Jan 20 2022,Galatasaray,1-3,1-1,Kasimpasa,2021-22
Sat Jan 22 2022,Yeni Malatyaspor,1-1,0-0,Besiktas,2021-22
Sat Jan 22 2022,Ad. Demirspor,5-0,1-0,Karagumruk,2021-22
Sat Jan 22 2022,Sivasspor,1-1,0-1,Fenerbahce,2021-22
Sat Jan 22 2022,Buyuksehyr,1-2,0-1,Goztep,2021-22
Sun Jan 23 2022,Hatayspor,0-0,0-0,Rizespor,2021-22
Sun Jan 23 2022,Kasimpasa,3-1,2-1,Kayserispor,2021-22
Sun Jan 23 2022,Altay,0-1,0-0,Konyaspor,2021-22
Sun Jan 23 2022,Antalyaspor,0-0,0-0,Gaziantep,2021-22
Sun Jan 23 2022,Giresunspor,1-3,1-2,Alanyaspor,2021-22
Sun Jan 23 2022,Galatasaray,1-2,1-0,Trabzonspor,2021-22
Fri Feb 4 2022,Kayserispor,4-3,1-0,Hatayspor,2021-22
Fri Feb 4 2022,Konyaspor,1-0,0-0,Giresunspor,2021-22
Sat Feb 5 2022,Gaziantep,5-1,3-1,Sivasspor,2021-22
Sat Feb 5 2022,Karagumruk,1-0,0-0,Yeni Malatyaspor,2021-22
Sat Feb 5 2022,Trabzonspor,1-0,1-0,Kasimpasa,2021-22
Sat Feb 5 2022,Fenerbahce,0-1,0-0,Buyuksehyr,2021-22
Sun Feb 6 2022,Alanyaspor,1-1,1-1,Galatasaray,2021-22
Sun Feb 6 2022,Rizespor,1-3,0-2,Ad. Demirspor,2021-22
Sun Feb 6 2022,Besiktas,0-0,0-0,Antalyaspor,2021-22
Sun Feb 6 2022,Goztep,0-2,0-1,Altay,2021-22
Fri Feb 11 2022,Altay,0-0,0-0,Rizespor,2021-22
Sat Feb 12 2022,Buyuksehyr,2-0,1-0,Gaziantep,2021-22
Sat Feb 12 2022,Giresunspor,1-2,1-1,Fenerbahce,2021-22
Sat Feb 12 2022,Galatasaray,1-1,0-0,Kayserispor,2021-22
Sun Feb 13 2022,Sivasspor,2-1,0-1,Yeni Malatyaspor,2021-22
Sun Feb 13 2022,Antalyaspor,3-0,2-0,Karagumruk,2021-22
Sun Feb 13 2022,Kasimpasa,2-2,0-1,Alanyaspor,2021-22
Sun Feb 13 2022,Trabzonspor,2-1,1-0,Konyaspor,2021-22
Mon Feb 14 2022,Ad. Demirspor,1-1,0-1,Besiktas,2021-22
Mon Feb 14 2022,Hatayspor,2-1,2-0,Goztep,2021-22
Fri Feb 18 2022,Konyaspor,4-4,2-1,Kasimpasa,2021-22
Fri Feb 18 2022,Rizespor,0-2,0-1,Buyuksehyr,2021-22
Sat Feb 19 2022,Yeni Malatyaspor,1-2,0-1,Antalyaspor,2021-22
Sat Feb 19 2022,Kayserispor,2-1,2-0,Giresunspor,2021-22
Sat Feb 19 2022,Besiktas,1-0,0-0,Altay,2021-22
Sun Feb 20 2022,Gaziantep,0-3,0-1,Ad. Demirspor,2021-22
Sun Feb 20 2022,Alanyaspor,0-4,0-4,Trabzonspor,2021-22
Sun Feb 20 2022,Karagumruk,1-0,0-0,Sivasspor,2021-22
Sun Feb 20 2022,Fenerbahce,2-0,0-0,Hatayspor,2021-22
Mon Feb 21 2022,Goztep,2-3,1-1,Galatasaray,2021-22
Wed Feb 23 2022,Gaziantep,0-0,0-0,Yeni Malatyaspor,2021-22
Tue Feb 22 2022,Buyuksehyr,2-1,0-1,Konyaspor,2021-22
Fri Feb 25 2022,Ad. Demirspor,0-0,0-0,Antalyaspor,2021-22
Fri Feb 25 2022,Trabzonspor,3-2,0-2,Kayserispor,2021-22
Sat Feb 26 2022,Buyuksehyr,1-2,1-2,Karagumruk,2021-22
Sat Feb 26 2022,Sivasspor,2-3,1-2,Besiktas,2021-22
Sun Feb 27 2022,Altay,3-2,2-2,Gaziantep,2021-22
Sun Feb 27 2022,Giresunspor,3-1,1-0,Goztep,2021-22
Sun Feb 27 2022,Alanyaspor,5-1,4-1,Konyaspor,2021-22
Sun Feb 27 2022,Hatayspor,5-2,3-0,Yeni Malatyaspor,2021-22
Sun Feb 27 2022,Galatasaray,4-2,1-1,Rizespor,2021-22
Mon Feb 28 2022,Kasimpasa,1-2,0-1,Fenerbahce,2021-22
Fri Mar 4 2022,Yeni Malatyaspor,1-0,0-0,Ad. Demirspor,2021-22
Sat Mar 5 2022,Goztep,2-3,1-1,Kasimpasa,2021-22
Sat Mar 5 2022,Rizespor,1-2,1-1,Giresunspor,2021-22
Sat Mar 5 2022,Konyaspor,2-0,2-0,Galatasaray,2021-22
Sun Mar 6 2022,Karagumruk,0-0,0-0,Altay,2021-22
Sun Mar 6 2022,Antalyaspor,1-0,1-0,Sivasspor,2021-22
Sun Mar 6 2022,Fenerbahce,1-1,0-1,Trabzonspor,2021-22
Mon Mar 7 2022,Besiktas,2-2,1-2,Buyuksehyr,2021-22
Mon Mar 7 2022,Gaziantep,2-2,1-2,Hatayspor,2021-22
Mon Mar 7 2022,Kayserispor,1-2,1-1,Alanyaspor,2021-22
Sat Mar 12 2022,Hatayspor,3-0,2-0,Karagumruk,2021-22
Sat Mar 12 2022,Altay,1-0,1-0,Yeni Malatyaspor,2021-22
Sat Mar 12 2022,Kasimpasa,3-1,1-0,Rizespor,2021-22
Sat Mar 12 2022,Trabzonspor,4-2,2-2,Goztep,2021-22
Sun Mar 13 2022,Kayserispor,2-3,2-1,Konyaspor,2021-22
Sun Mar 13 2022,Ad. Demirspor,2-3,0-1,Sivasspor,2021-22
Sun Mar 13 2022,Alanyaspor,2-5,0-1,Fenerbahce,2021-22
Mon Mar 14 2022,Buyuksehyr,0-1,0-1,Antalyaspor,2021-22
Mon Mar 14 2022,Galatasaray,2-1,2-0,Besiktas,2021-22
Mon Mar 14 2022,Giresunspor,2-1,1-1,Gaziantep,2021-22
Fri Mar 18 2022,Karagumruk,3-0,2-0,Kayserispor,2021-22
Fri Mar 18 2022,Rizespor,3-2,0-0,Trabzonspor,2021-22
Sat Mar 19 2022,Yeni Malatyaspor,0-2,0-0,Kasimpasa,2021-22
Sat Mar 19 2022,Ad. Demirspor,2-1,1-0,Buyuksehyr,2021-22
Sat Mar 19 2022,Goztep,0-2,0-0,Alanyaspor,2021-22
Sat Mar 19 2022,Besiktas,1-1,1-1,Hatayspor,2021-22
Sun Mar 20 2022,Antalyaspor,4-1,1-0,Giresunspor,2021-22
Sun Mar 20 2022,Sivasspor,2-1,0-0,Altay,2021-22
Sun Mar 20 2022,Gaziantep,3-1,1-1,Galatasaray,2021-22
Sun Mar 20 2022,Fenerbahce,2-1,0-1,Konyaspor,2021-22
Sat Apr 2 2022,Giresunspor,2-2,0-2,Sivasspor,2021-22
Sat Apr 2 2022,Altay,1-2,0-1,Antalyaspor,2021-22
Sat Apr 2 2022,Kayserispor,0-4,0-2,Fenerbahce,2021-22
Sat Apr 2 2022,Galatasaray,2-0,2-0,Karagumruk,2021-22
Sun Apr 3 2022,Kasimpasa,2-1,1-1,Gaziantep,2021-22
Sun Apr 3 2022,Alanyaspor,2-1,1-0,Rizespor,2021-22
Sun Apr 3 2022,Konyaspor,3-0,2-0,Goztep,2021-22
Sun Apr 3 2022,Trabzonspor,1-1,0-0,Besiktas,2021-22
Mon Apr 4 2022,Buyuksehyr,1-0,1-0,Yeni Malatyaspor,2021-22
Mon Apr 4 2022,Hatayspor,0-0,0-0,Ad. Demirspor,2021-22
Sat Apr 9 2022,Karagumruk,3-2,2-0,Kasimpasa,2021-22
Sat Apr 9 2022,Goztep,1-2,1-2,Kayserispor,2021-22
Sat Apr 9 2022,Rizespor,2-1,1-1,Konyaspor,2021-22
Sat Apr 9 2022,Besiktas,4-1,3-1,Alanyaspor,2021-22
Sat Apr 9 2022,Gaziantep,0-0,0-0,Trabzonspor,2021-22
Sun Apr 10 2022,Yeni Malatyaspor,0-1,0-1,Giresunspor,2021-22
Sun Apr 10 2022,Ad. Demirspor,3-1,2-0,Altay,2021-22
Sun Apr 10 2022,Sivasspor,0-2,0-1,Buyuksehyr,2021-22
Sun Apr 10 2022,Fenerbahce,2-0,1-0,Galatasaray,2021-22
Mon Apr 11 2022,Antalyaspor,4-1,3-1,Hatayspor,2021-22
Fri Apr 15 2022,Kayserispor,1-1,0-0,Rizespor,2021-22
Fri Apr 15 2022,Trabzonspor,1-1,0-1,Karagumruk,2021-22
Sat Apr 16 2022,Hatayspor,1-1,0-1,Sivasspor,2021-22
Sat Apr 16 2022,Alanyaspor,1-3,0-2,Antalyaspor,2021-22
Sat Apr 16 2022,Altay,1-1,0-1,Buyuksehyr,2021-22
Sat Apr 16 2022,Fenerbahce,2-0,1-0,Goztep,2021-22
Sun Apr 17 2022,Konyaspor,4-1,2-0,Gaziantep,2021-22
Sun Apr 17 2022,Kasimpasa,4-0,2-0,Ad. Demirspor,2021-22
Sun Apr 17 2022,Giresunspor,0-0,0-0,Besiktas,2021-22
Mon Apr 18 2022,Galatasaray,2-0,0-0,Yeni Malatyaspor,2021-22
Fri Apr 22 2022,Rizespor,0-6,0-3,Fenerbahce,2021-22
Sat Apr 23 2022,Gaziantep,1-1,0-0,Goztep,2021-22
Sat Apr 23 2022,Karagumruk,2-1,0-0,Giresunspor,2021-22
Sat Apr 23 2022,Ad. Demirspor,1-3,0-2,Trabzonspor,2021-22
Sun Apr 24 2022,Buyuksehyr,3-0,0-0,Hatayspor,2021-22
Sun Apr 24 2022,Yeni Malatyaspor,2-3,0-2,Konyaspor,2021-22
Sun Apr 24 2022,Altay,0-1,0-1,Galatasaray,2021-22
Sun Apr 24 2022,Antalyaspor,1-1,0-0,Kayserispor,2021-22
Mon Apr 25 2022,Besiktas,0-3,0-2,Kasimpasa,2021-22
Mon Apr 25 2022,Sivasspor,1-0,0-0,Alanyaspor,2021-22
Fri Apr 29 2022,Fenerbahce,3-2,1-0,Gaziantep,2021-22
Fri Apr 29 2022,Giresunspor,2-0,1-0,Ad. Demirspor,2021-22
Sat Apr 30 2022,Kasimpasa,2-3,1-2,Buyuksehyr,2021-22
Sat Apr 30 2022,Konyaspor,1-2,1-0,Karagumruk,2021-22
Sat Apr 30 2022,Hatayspor,0-1,0-1,Altay,2021-22
Sat Apr 30 2022,Trabzonspor,2-2,1-0,Antalyaspor,2021-22
Sun May 1 2022,Alanyaspor,2-1,0-1,Yeni Malatyaspor,2021-22
Sun May 1 2022,Kayserispor,2-3,1-0,Besiktas,2021-22
Sun May 1 2022,Galatasaray,2-3,1-1,Sivasspor,2021-22
Sun May 1 2022,Goztep,1-7,1-3,Rizespor,2021-22
Fri May 6 2022,Gaziantep,1-1,1-1,Kayserispor,2021-22
Fri May 6 2022,Hatayspor,1-1,0-0,Trabzonspor,2021-22
Sat May 7 2022,Karagumruk,3-1,1-0,Goztep,2021-22
Sat May 7 2022,Sivasspor,1-3,0-0,Kasimpasa,2021-22
Sat May 7 2022,Ad. Demirspor,1-2,1-1,Alanyaspor,2021-22
Sat May 7 2022,Buyuksehyr,0-0,0-0,Galatasaray,2021-22
Sun May 8 2022,Altay,1-1,0-1,Giresunspor,2021-22
Sun May 8 2022,Yeni Malatyaspor,1-3,1-2,Rizespor,2021-22
Sun May 8 2022,Besiktas,1-1,1-1,Fenerbahce,2021-22
Mon May 9 2022,Antalyaspor,3-2,2-2,Konyaspor,2021-22
Sat May 14 2022,Kayserispor,3-0,2-0,Yeni Malatyaspor,2021-22
Sun May 15 2022,Goztep,0-2,0-2,Besiktas,2021-22
Sun May 15 2022,Trabzonspor,2-1,1-0,Altay,2021-22
Sun May 15 2022,Alanyaspor,3-0,0-0,Gaziantep,2021-22
Sun May 15 2022,Fenerbahce,0-0,0-0,Karagumruk,2021-22
Sun May 15 2022,Giresunspor,1-1,0-1,Buyuksehyr,2021-22
Sun May 15 2022,Kasimpasa,2-4,1-1,Antalyaspor,2021-22
Sun May 15 2022,Konyaspor,3-1,1-1,Hatayspor,2021-22
Mon May 16 2022,Galatasaray,3-2,1-1,Ad. Demirspor,2021-22
Mon May 16 2022,Rizespor,1-2,1-1,Sivasspor,2021-22
Fri May 20 2022,Antalyaspor,1-1,1-0,Galatasaray,2021-22
Fri May 20 2022,Gaziantep,2-0,1-0,Rizespor,2021-22
Sat May 21 2022,Altay,2-4,1-2,Kasimpasa,2021-22
Sat May 21 2022,Sivasspor,2-1,1-0,Kayserispor,2021-22
Sat May 21 2022,Besiktas,1-1,0-1,Konyaspor,2021-22
Sat May 21 2022,Yeni Malatyaspor,0-5,0-1,Fenerbahce,2021-22
Sun May 22 2022,Buyuksehyr,3-1,3-0,Trabzonspor,2021-22
Sun May 22 2022,Karagumruk,0-1,0-1,Alanyaspor,2021-22
Sun May 22 2022,Ad. Demirspor,7-0,5-0,Goztep,2021-22
Sun May 22 2022,Hatayspor,4-1,1-1,Giresunspor,2021-22
Fri Aug 5 2022,Istanbulspor,0-2,0-1,Trabzonspor,2022-23
Sat Aug 6 2022,Sivasspor,1-1,0-1,Gaziantep,2022-23
Sat Aug 6 2022,Besiktas,1-0,0-0,Kayserispor,2022-23
Sun Aug 7 2022,Giresunspor,2-3,0-2,Ad. Demirspor,2022-23
Sun Aug 7 2022,Karagumruk,2-4,0-2,Alanyaspor,2022-23
Sun Aug 7 2022,Antalyaspor,0-1,0-0,Galatasaray,2022-23
Mon Aug 8 2022,Buyuksehyr,4-0,2-0,Kasimpasa,2022-23
Mon Aug 8 2022,Ankaragucu,0-0,0-0,Konyaspor,2022-23
Mon Aug 8 2022,Fenerbahce,3-3,2-1,Umraniyespor,2022-23
Fri Aug 12 2022,Trabzonspor,1-0,0-0,Hatayspor,2022-23
Sat Aug 13 2022,Kayserispor,1-0,1-0,Istanbulspor,2022-23
Sat Aug 13 2022,Ad. Demirspor,3-0,1-0,Sivasspor,2022-23
Sat Aug 13 2022,Galatasaray,0-1,0-0,Giresunspor,2022-23
Sun Aug 14 2022,Gaziantep,1-0,0-0,Ankaragucu,2022-23
Sun Aug 14 2022,Umraniyespor,0-1,0-0,Antalyaspor,2022-23
Sun Aug 14 2022,Alanyaspor,3-3,1-3,Besiktas,2022-23
Mon Aug 15 2022,Konyaspor,0-0,0-0,Buyuksehyr,2022-23
Mon Aug 15 2022,Kasimpasa,0-6,0-3,Fenerbahce,2022-23
Fri Aug 19 2022,Umraniyespor,0-1,0-0,Galatasaray,2022-23
Sat Aug 20 2022,Giresunspor,1-0,0-0,Kasimpasa,2022-23
Sat Aug 20 2022,Hatayspor,1-2,1-1,Gaziantep,2022-23
Sat Aug 20 2022,Antalyaspor,5-2,2-1,Trabzonspor,2022-23
Sun Aug 21 2022,Buyuksehyr,2-0,1-0,Kayserispor,2022-23
Sun Aug 21 2022,Besiktas,4-1,2-0,Karagumruk,2022-23
Mon Aug 22 2022,Istanbulspor,0-4,0-2,Konyaspor,2022-23
Mon Aug 22 2022,Sivasspor,1-1,1-0,Alanyaspor,2022-23
Mon Aug 22 2022,Fenerbahce,4-2,2-0,Ad. Demirspor,2022-23
Fri Aug 26 2022,Gaziantep,5-2,1-2,Antalyaspor,2022-23
Sat Aug 27 2022,Karagumruk,4-1,2-0,Ankaragucu,2022-23
Sat Aug 27 2022,Ad. Demirspor,1-0,1-0,Umraniyespor,2022-23
Sat Aug 27 2022,Alanyaspor,0-1,0-0,Istanbulspor,2022-23
Sun Aug 28 2022,Kasimpasa,1-0,1-0,Hatayspor,2022-23
Sun Aug 28 2022,Kayserispor,3-0,1-0,Giresunspor,2022-23
Sun Aug 28 2022,Trabzonspor,0-0,0-0,Galatasaray,2022-23
Mon Aug 29 2022,Konyaspor,1-0,0-0,Fenerbahce,2022-23
Mon Aug 29 2022,Besiktas,3-1,3-0,Sivasspor,2022-23
Fri Sep 2 2022,Umraniyespor,0-1,0-0,Trabzonspor,2022-23
Sat Sep 3 2022,Buyuksehyr,2-0,1-0,Alanyaspor,2022-23
Sat Sep 3 2022,Sivasspor,0-0,0-0,Karagumruk,2022-23
Sat Sep 3 2022,Fenerbahce,2-0,1-0,Kayserispor,2022-23
Sat Sep 3 2022,Giresunspor,0-1,0-0,Konyaspor,2022-23
Sun Sep 4 2022,Hatayspor,1-1,1-0,Ad. Demirspor,2022-23
Sun Sep 4 2022,Ankaragucu,2-3,1-2,Besiktas,2022-23
Sun Sep 4 2022,Antalyaspor,0-2,0-1,Kasimpasa,2022-23
Mon Sep 5 2022,Galatasaray,2-1,1-1,Gaziantep,2022-23
Fri Sep 9 2022,Alanyaspor,2-1,0-0,Ankaragucu,2022-23
Sat Sep 10 2022,Konyaspor,1-0,0-0,Hatayspor,2022-23
Sat Sep 10 2022,Karagumruk,1-1,0-0,Giresunspor,2022-23
Sun Sep 11 2022,Sivasspor,1-1,0-0,Istanbulspor,2022-23
Sun Sep 11 2022,Gaziantep,1-1,0-0,Umraniyespor,2022-23
Sun Sep 11 2022,Kasimpasa,2-3,1-1,Galatasaray,2022-23
Sun Sep 11 2022,Kayserispor,1-0,0-0,Antalyaspor,2022-23
Mon Sep 12 2022,Besiktas,0-1,0-0,Buyuksehyr,2022-23
Mon Sep 12 2022,Ad. Demirspor,3-2,1-1,Trabzonspor,2022-23
Fri Sep 16 2022,Galatasaray,2-1,1-1,Konyaspor,2022-23
Fri Sep 16 2022,Hatayspor,0-4,0-2,Kayserispor,2022-23
Sat Sep 17 2022,Umraniyespor,1-2,0-1,Kasimpasa,2022-23
Sat Sep 17 2022,Antalyaspor,0-3,0-1,Ad. Demirspor,2022-23
Sat Sep 17 2022,Istanbulspor,2-2,1-2,Besiktas,2022-23
Sun Sep 18 2022,Buyuksehyr,0-0,0-0,Karagumruk,2022-23
Sun Sep 18 2022,Trabzonspor,3-2,2-2,Gaziantep,2022-23
Sun Sep 18 2022,Ankaragucu,2-1,2-0,Sivasspor,2022-23
Sun Sep 18 2022,Fenerbahce,5-0,3-0,Alanyaspor,2022-23
Sat Oct 1 2022,Kasimpasa,1-0,0-0,Gaziantep,2022-23
Sat Oct 1 2022,Ankaragucu,1-2,0-1,Buyuksehyr,2022-23
Sat Oct 1 2022,Kayserispor,1-2,1-0,Trabzonspor,2022-23
Sat Oct 1 2022,Ad. Demirspor,0-0,0-0,Galatasaray,2022-23
Sun Oct 2 2022,Alanyaspor,1-1,0-0,Giresunspor,2022-23
Sun Oct 2 2022,Sivasspor,1-2,1-2,Hatayspor,2022-23
Sun Oct 2 2022,Konyaspor,1-0,1-0,Umraniyespor,2022-23
Sun Oct 2 2022,Besiktas,0-0,0-0,Fenerbahce,2022-23
Mon Oct 3 2022,Karagumruk,1-2,1-0,Istanbulspor,2022-23
Fri Oct 7 2022,Gaziantep,1-1,0-0,Ad. Demirspor,2022-23
Sat Oct 8 2022,Istanbulspor,1-2,0-1,Ankaragucu,2022-23
Sat Oct 8 2022,Antalyaspor,1-1,0-0,Konyaspor,2022-23
Sat Oct 8 2022,Giresunspor,0-1,0-1,Besiktas,2022-23
Sun Oct 9 2022,Umraniyespor,2-2,0-1,Kayserispor,2022-23
Sun Oct 9 2022,Hatayspor,1-0,0-0,Alanyaspor,2022-23
Sun Oct 9 2022,Fenerbahce,5-4,2-2,Karagumruk,2022-23
Mon Oct 10 2022,Buyuksehyr,0-2,0-1,Sivasspor,2022-23
Mon Oct 10 2022,Trabzonspor,0-0,0-0,Kasimpasa,2022-23
Fri Oct 14 2022,Alanyaspor,3-2,1-0,Antalyaspor,2022-23
Sat Oct 15 2022,Karagumruk,3-0,2-0,Hatayspor,2022-23
Sat Oct 15 2022,Kasimpasa,1-4,0-2,Ad. Demirspor,2022-23
Sat Oct 15 2022,Kayserispor,2-1,2-0,Galatasaray,2022-23
Sat Oct 15 2022,Konyaspor,0-1,0-0,Gaziantep,2022-23
Sun Oct 16 2022,Buyuksehyr,2-0,1-0,Istanbulspor,2022-23
Sun Oct 16 2022,Besiktas,2-2,1-2,Trabzonspor,2022-23
Mon Oct 17 2022,Ankaragucu,0-3,0-2,Fenerbahce,2022-23
Mon Oct 17 2022,Sivasspor,3-0,2-0,Giresunspor,2022-23
Fri Oct 21 2022,Antalyaspor,2-1,1-1,Istanbulspor,2022-23
Sat Oct 22 2022,Umraniyespor,1-3,1-1,Karagumruk,2022-23
Sat Oct 22 2022,Trabzonspor,1-0,1-0,Sivasspor,2022-23
Sat Oct 22 2022,Fenerbahce,1-0,0-0,Buyuksehyr,2022-23
Sun Oct 23 2022,Kasimpasa,0-1,0-1,Kayserispor,2022-23
Sun Oct 23 2022,Ad. Demirspor,1-1,1-1,Konyaspor,2022-23
Sun Oct 23 2022,Galatasaray,2-2,2-0,Alanyaspor,2022-23
Mon Oct 24 2022,Giresunspor,1-1,0-0,Ankaragucu,2022-23
Mon Oct 24 2022,Hatayspor,2-1,0-1,Besiktas,2022-23
Fri Oct 28 2022,Karagumruk,0-2,0-0,Galatasaray,2022-23
Sat Oct 29 2022,Konyaspor,1-1,0-0,Kasimpasa,2022-23
Sat Oct 29 2022,Alanyaspor,2-0,1-0,Gaziantep,2022-23
Sun Oct 30 2022,Ankaragucu,4-1,1-0,Hatayspor,2022-23
Sun Oct 30 2022,Besiktas,5-2,2-1,Umraniyespor,2022-23
Sun Oct 30 2022,Kayserispor,2-2,0-1,Ad. Demirspor,2022-23
Sun Oct 30 2022,Istanbulspor,2-5,0-2,Fenerbahce,2022-23
Mon Oct 31 2022,Buyuksehyr,3-1,1-0,Giresunspor,2022-23
Mon Oct 31 2022,Sivasspor,0-2,0-2,Antalyaspor,2022-23
Fri Nov 4 2022,Kasimpasa,1-1,0-0,Ankaragucu,2022-23
Fri Nov 4 2022,Umraniyespor,3-1,2-0,Alanyaspor,2022-23
Sat Nov 5 2022,Giresunspor,3-2,1-1,Istanbulspor,2022-23
Sat Nov 5 2022,Galatasaray,2-1,1-1,Besiktas,2022-23
Sun Nov 6 2022,Gaziantep,1-2,0-1,Kayserispor,2022-23
