Date,Team 1,FT,HT,Team 2,Season
Sun Nov 6 2022,Antalyaspor,4-2,3-2,Karagumruk,2022-23
Sun Nov 6 2022,Trabzonspor,2-2,2-1,Konyaspor,2022-23
Mon Nov 7 2022,Fenerbahce,1-0,0-0,Sivasspor,2022-23
Mon Nov 7 2022,Hatayspor,3-3,1-0,Buyuksehyr,2022-23
Fri Nov 11 2022,Alanyaspor,0-0,0-0,Ad. Demirspor,2022-23
Fri Nov 11 2022,Ankaragucu,1-1,0-0,Trabzonspor,2022-23
Sat Nov 12 2022,Sivasspor,2-2,1-1,Umraniyespor,2022-23
Sat Nov 12 2022,Fenerbahce,1-2,1-0,Giresunspor,2022-23
Sat Nov 12 2022,Buyuksehyr,0-7,0-3,Galatasaray,2022-23
Sun Nov 13 2022,Karagumruk,3-3,1-2,Gaziantep,2022-23
Sun Nov 13 2022,Istanbulspor,0-1,0-1,Hatayspor,2022-23
Sun Nov 13 2022,Kayserispor,1-2,1-2,Konyaspor,2022-23
Fri Dec 23 2022,Antalyaspor,0-2,0-0,Ankaragucu,2022-23
Fri Dec 23 2022,Umraniyespor,1-3,1-1,Buyuksehyr,2022-23
Sat Dec 24 2022,Hatayspor,1-1,0-0,Giresunspor,2022-23
Sat Dec 24 2022,Kasimpasa,1-2,1-1,Sivasspor,2022-23
Sat Dec 24 2022,Trabzonspor,2-0,0-0,Fenerbahce,2022-23
Sun Dec 25 2022,Ad. Demirspor,2-1,2-1,Karagumruk,2022-23
Sun Dec 25 2022,Gaziantep,1-1,0-0,Besiktas,2022-23
Sun Dec 25 2022,Konyaspor,2-2,1-0,Alanyaspor,2022-23
Sun Dec 25 2022,Galatasaray,2-1,2-0,Istanbulspor,2022-23
Tue Dec 27 2022,Ankaragucu,1-2,1-1,Umraniyespor,2022-23
Tue Dec 27 2022,Buyuksehyr,2-0,0-0,Antalyaspor,2022-23
Tue Dec 27 2022,Fenerbahce,4-0,2-0,Hatayspor,2022-23
Wed Dec 28 2022,Alanyaspor,3-1,2-0,Kayserispor,2022-23
Wed Dec 28 2022,Istanbulspor,2-1,1-1,Kasimpasa,2022-23
Wed Dec 28 2022,Karagumruk,4-1,2-1,Trabzonspor,2022-23
Thu Dec 29 2022,Giresunspor,2-1,1-0,Gaziantep,2022-23
Thu Dec 29 2022,Sivasspor,1-2,0-1,Galatasaray,2022-23
Thu Dec 29 2022,Besiktas,1-0,1-0,Ad. Demirspor,2022-23
Tue Jan 3 2023,Umraniyespor,2-2,1-1,Hatayspor,2022-23
Tue Jan 3 2023,Antalyaspor,1-2,1-0,Fenerbahce,2022-23
Wed Jan 4 2023,Kasimpasa,4-1,2-0,Alanyaspor,2022-23
Wed Jan 4 2023,Kayserispor,2-4,0-2,Karagumruk,2022-23
Wed Jan 4 2023,Galatasaray,2-1,2-1,Ankaragucu,2022-23
Wed Jan 4 2023,Konyaspor,2-2,1-1,Sivasspor,2022-23
Thu Jan 5 2023,Gaziantep,1-1,0-1,Buyuksehyr,2022-23
Thu Jan 5 2023,Ad. Demirspor,6-0,1-0,Istanbulspor,2022-23
Thu Jan 5 2023,Trabzonspor,3-0,1-0,Giresunspor,2022-23
Sat Jan 7 2023,Hatayspor,0-0,0-0,Antalyaspor,2022-23
Sat Jan 7 2023,Besiktas,2-1,2-0,Kasimpasa,2022-23
Sun Jan 8 2023,Karagumruk,3-3,2-0,Konyaspor,2022-23
Sun Jan 8 2023,Ankaragucu,2-1,1-1,Kayserispor,2022-23
Sun Jan 8 2023,Giresunspor,0-1,0-0,Umraniyespor,2022-23
Sun Jan 8 2023,Fenerbahce,0-3,0-1,Galatasaray,2022-23
Mon Jan 9 2023,Buyuksehyr,2-1,0-0,Ad. Demirspor,2022-23
Mon Jan 9 2023,Alanyaspor,5-0,3-0,Trabzonspor,2022-23
Mon Jan 9 2023,Istanbulspor,1-1,0-1,Gaziantep,2022-23
Fri Jan 13 2023,Kayserispor,4-1,3-0,Sivasspor,2022-23
Fri Jan 13 2023,Galatasaray,4-0,3-0,Hatayspor,2022-23
Sat Jan 14 2023,Antalyaspor,2-2,1-1,Giresunspor,2022-23
Sat Jan 14 2023,Ad. Demirspor,3-1,0-0,Ankaragucu,2022-23
Sat Jan 14 2023,Konyaspor,1-2,1-0,Besiktas,2022-23
Sat Jan 14 2023,Trabzonspor,1-0,1-0,Buyuksehyr,2022-23
Sun Jan 15 2023,Umraniyespor,0-2,0-2,Istanbulspor,2022-23
Sun Jan 15 2023,Kasimpasa,2-2,1-0,Karagumruk,2022-23
Sun Jan 15 2023,Gaziantep,1-2,0-1,Fenerbahce,2022-23
Fri Jan 20 2023,Ad. Demirspor,1-1,0-1,Giresunspor,2022-23
Sat Jan 21 2023,Kasimpasa,1-3,1-0,Buyuksehyr,2022-23
Sat Jan 21 2023,Galatasaray,2-1,0-0,Antalyaspor,2022-23
Sun Jan 22 2023,Gaziantep,1-2,0-1,Sivasspor,2022-23
Sun Jan 22 2023,Alanyaspor,2-2,1-0,Karagumruk,2022-23
Sun Jan 22 2023,Kayserispor,0-2,0-2,Besiktas,2022-23
Sun Jan 22 2023,Trabzonspor,4-0,1-0,Istanbulspor,2022-23
Mon Jan 23 2023,Konyaspor,0-1,0-0,Ankaragucu,2022-23
Mon Jan 23 2023,Umraniyespor,1-2,0-0,Fenerbahce,2022-23
Fri Jan 27 2023,Besiktas,3-0,1-0,Alanyaspor,2022-23
Sat Jan 28 2023,Sivasspor,1-2,0-1,Ad. Demirspor,2022-23
Sat Jan 28 2023,Ankaragucu,0-2,0-0,Gaziantep,2022-23
Sat Jan 28 2023,Hatayspor,2-1,0-1,Trabzonspor,2022-23
Sat Jan 28 2023,Antalyaspor,3-2,1-1,Umraniyespor,2022-23
Sat Jan 28 2023,Giresunspor,0-4,0-1,Galatasaray,2022-23
Sun Jan 29 2023,Istanbulspor,2-4,2-1,Kayserispor,2022-23
Sun Jan 29 2023,Buyuksehyr,2-0,1-0,Konyaspor,2022-23
Sun Jan 29 2023,Fenerbahce,5-1,2-1,Kasimpasa,2022-23
Tue Jan 31 2023,Alanyaspor,0-3,0-2,Sivasspor,2022-23
Tue Jan 31 2023,Karagumruk,1-1,0-1,Besiktas,2022-23
Wed Feb 1 2023,Gaziantep,4-1,1-1,Hatayspor,2022-23
Wed Feb 1 2023,Kasimpasa,5-1,3-1,Giresunspor,2022-23
Wed Feb 1 2023,Galatasaray,3-2,1-2,Umraniyespor,2022-23
Wed Feb 1 2023,Trabzonspor,2-0,1-0,Antalyaspor,2022-23
Thu Feb 2 2023,Kayserispor,1-0,0-0,Buyuksehyr,2022-23
Thu Feb 2 2023,Konyaspor,0-1,0-0,Istanbulspor,2022-23
Thu Feb 2 2023,Ad. Demirspor,1-1,0-0,Fenerbahce,2022-23
Sat Feb 4 2023,Ankaragucu,0-2,0-1,Karagumruk,2022-23
Sat Feb 4 2023,Sivasspor,1-0,1-0,Besiktas,2022-23
Sat Feb 4 2023,Antalyaspor,1-0,1-0,Gaziantep,2022-23
Sun Feb 5 2023,Istanbulspor,2-1,0-0,Alanyaspor,2022-23
Sun Feb 5 2023,Hatayspor,1-0,0-0,Kasimpasa,2022-23
Sun Feb 5 2023,Galatasaray,2-1,1-1,Trabzonspor,2022-23
Sat Feb 25 2023,Umraniyespor,3-0,?,Gaziantep,2022-23
Sat Feb 25 2023,Fenerbahce,4-0,2-0,Konyaspor,2022-23
Sat Feb 25 2023,Giresunspor,1-2,0-2,Kayserispor,2022-23
Sun Feb 26 2023,Umraniyespor,1-1,0-0,Ad. Demirspor,2022-23
Sun Feb 26 2023,Besiktas,0-0,0-0,Antalyaspor,2022-23
Fri Mar 3 2023,Alanyaspor,1-0,0-0,Buyuksehyr,2022-23
Sat Mar 4 2023,Karagumruk,4-3,1-1,Sivasspor,2022-23
Sat Mar 4 2023,Trabzonspor,1-2,0-0,Umraniyespor,2022-23
Sat Mar 4 2023,Kayserispor,1-2,0-1,Fenerbahce,2022-23
Sun Mar 5 2023,Ad. Demirspor,3-0,?,Hatayspor,2022-23
Sun Mar 5 2023,Gaziantep,0-3,?,Galatasaray,2022-23
Sun Mar 5 2023,Konyaspor,0-0,0-0,Giresunspor,2022-23
Sun Mar 5 2023,Besiktas,2-1,1-0,Ankaragucu,2022-23
Mon Mar 6 2023,Kasimpasa,3-1,2-1,Antalyaspor,2022-23
Fri Mar 10 2023,Giresunspor,2-2,2-1,Karagumruk,2022-23
Sat Mar 11 2023,Antalyaspor,4-0,1-0,Kayserispor,2022-23
Sat Mar 11 2023,Galatasaray,1-0,0-0,Kasimpasa,2022-23
Sun Mar 12 2023,Ankaragucu,2-0,1-0,Alanyaspor,2022-23
Sun Mar 12 2023,Hatayspor,0-3,?,Konyaspor,2022-23
Sun Mar 12 2023,Trabzonspor,4-1,1-1,Ad. Demirspor,2022-23
Sun Mar 12 2023,Buyuksehyr,0-2,0-1,Besiktas,2022-23
Mon Mar 13 2023,Istanbulspor,3-0,1-0,Sivasspor,2022-23
Fri Mar 17 2023,Konyaspor,2-1,0-1,Galatasaray,2022-23
Sat Mar 18 2023,Kasimpasa,1-1,1-1,Umraniyespor,2022-23
Sat Mar 18 2023,Ad. Demirspor,2-0,2-0,Antalyaspor,2022-23
Sat Mar 18 2023,Besiktas,3-1,1-0,Istanbulspor,2022-23
Sun Mar 19 2023,Karagumruk,2-2,1-1,Buyuksehyr,2022-23
Sun Mar 19 2023,Sivasspor,2-0,1-0,Ankaragucu,2022-23
Sun Mar 19 2023,Alanyaspor,1-3,1-0,Fenerbahce,2022-23
Sun Mar 19 2023,Gaziantep,0-3,?,Trabzonspor,2022-23
Sun Mar 19 2023,Kayserispor,3-0,?,Hatayspor,2022-23
Sat Apr 1 2023,Buyuksehyr,1-0,1-0,Ankaragucu,2022-23
Sat Apr 1 2023,Trabzonspor,3-4,1-2,Kayserispor,2022-23
Sat Apr 1 2023,Galatasaray,2-0,0-0,Ad. Demirspor,2022-23
Sun Apr 2 2023,Umraniyespor,2-2,0-0,Konyaspor,2022-23
Sun Apr 2 2023,Giresunspor,2-2,0-1,Alanyaspor,2022-23
Sun Apr 2 2023,Gaziantep,0-3,?,Kasimpasa,2022-23
Sun Apr 2 2023,Hatayspor,0-3,?,Sivasspor,2022-23
Sun Apr 2 2023,Fenerbahce,2-4,1-0,Besiktas,2022-23
Mon Apr 3 2023,Istanbulspor,0-1,0-1,Karagumruk,2022-23
Fri Apr 7 2023,Konyaspor,1-1,1-1,Antalyaspor,2022-23
Sat Apr 8 2023,Ankaragucu,3-2,2-0,Istanbulspor,2022-23
Sat Apr 8 2023,Kasimpasa,2-0,1-0,Trabzonspor,2022-23
Sun Apr 9 2023,Sivasspor,1-1,1-0,Buyuksehyr,2022-23
Sun Apr 9 2023,Ad. Demirspor,3-0,?,Gaziantep,2022-23
Sun Apr 9 2023,Alanyaspor,3-0,?,Hatayspor,2022-23
Sun Apr 9 2023,Besiktas,3-1,2-1,Giresunspor,2022-23
Mon Apr 10 2023,Kayserispor,3-1,1-1,Umraniyespor,2022-23
Mon Apr 10 2023,Karagumruk,1-2,1-0,Fenerbahce,2022-23
Fri Apr 14 2023,Antalyaspor,3-1,2-1,Alanyaspor,2022-23
Fri Apr 14 2023,Galatasaray,6-0,4-0,Kayserispor,2022-23
Sat Apr 15 2023,Ad. Demirspor,5-0,3-0,Kasimpasa,2022-23
Sat Apr 15 2023,Istanbulspor,1-0,1-0,Buyuksehyr,2022-23
Sat Apr 15 2023,Fenerbahce,2-1,0-0,Ankaragucu,2022-23
Sun Apr 16 2023,Giresunspor,1-0,1-0,Sivasspor,2022-23
Sun Apr 16 2023,Gaziantep,0-3,?,Konyaspor,2022-23
Sun Apr 16 2023,Hatayspor,0-3,?,Karagumruk,2022-23
Sun Apr 16 2023,Trabzonspor,0-0,0-0,Besiktas,2022-23
Tue Apr 18 2023,Alanyaspor,1-4,1-2,Galatasaray,2022-23
Tue Apr 18 2023,Karagumruk,4-2,2-1,Umraniyespor,2022-23
Wed Apr 19 2023,Istanbulspor,3-3,2-1,Antalyaspor,2022-23
Wed Apr 19 2023,Kayserispor,0-0,0-0,Kasimpasa,2022-23
Wed Apr 19 2023,Besiktas,3-0,?,Hatayspor,2022-23
Wed Apr 19 2023,Buyuksehyr,1-2,1-0,Fenerbahce,2022-23
Wed Apr 19 2023,Konyaspor,1-2,1-1,Ad. Demirspor,2022-23
Thu Apr 20 2023,Ankaragucu,3-1,0-1,Giresunspor,2022-23
Thu Apr 20 2023,Sivasspor,4-1,2-1,Trabzonspor,2022-23
Sat Apr 22 2023,Umraniyespor,0-2,0-1,Besiktas,2022-23
Sun Apr 23 2023,Kasimpasa,1-2,1-2,Konyaspor,2022-23
Sun Apr 23 2023,Ad. Demirspor,5-3,4-3,Kayserispor,2022-23
Sun Apr 23 2023,Galatasaray,3-3,2-3,Karagumruk,2022-23
Sun Apr 23 2023,Gaziantep,0-3,?,Alanyaspor,2022-23
Sun Apr 23 2023,Hatayspor,0-3,?,Ankaragucu,2022-23
Mon Apr 24 2023,Giresunspor,2-4,0-4,Buyuksehyr,2022-23
Mon Apr 24 2023,Antalyaspor,1-2,0-2,Sivasspor,2022-23
Mon Apr 24 2023,Fenerbahce,3-3,1-0,Istanbulspor,2022-23
Fri Apr 28 2023,Alanyaspor,1-0,1-0,Umraniyespor,2022-23
Sat Apr 29 2023,Karagumruk,0-1,0-1,Antalyaspor,2022-23
Sat Apr 29 2023,Konyaspor,2-1,1-1,Trabzonspor,2022-23
Sat Apr 29 2023,Ankaragucu,0-0,0-0,Kasimpasa,2022-23
Sat Apr 29 2023,Sivasspor,1-3,0-3,Fenerbahce,2022-23
Sun Apr 30 2023,Besiktas,3-1,1-1,Galatasaray,2022-23
Sun Apr 30 2023,Buyuksehyr,3-0,?,Hatayspor,2022-23
Sun Apr 30 2023,Kayserispor,3-0,?,Gaziantep,2022-23
Mon May 1 2023,Istanbulspor,1-0,1-0,Giresunspor,2022-23
Sat May 6 2023,Antalyaspor,1-3,1-0,Besiktas,2022-23
Sat May 6 2023,Ad. Demirspor,4-2,2-2,Alanyaspor,2022-23
Sun May 7 2023,Umraniyespor,4-1,2-1,Sivasspor,2022-23
Sun May 7 2023,Konyaspor,2-2,0-0,Kayserispor,2022-23
Sun May 7 2023,Giresunspor,1-1,0-1,Fenerbahce,2022-23
Sun May 7 2023,Gaziantep,0-3,?,Karagumruk,2022-23
Sun May 7 2023,Hatayspor,0-3,?,Istanbulspor,2022-23
Mon May 8 2023,Galatasaray,1-0,1-0,Buyuksehyr,2022-23
Mon May 8 2023,Trabzonspor,2-0,1-0,Ankaragucu,2022-23
Tue May 16 2023,Sivasspor,1-2,0-0,Kasimpasa,2022-23
Tue May 16 2023,Alanyaspor,0-3,0-1,Konyaspor,2022-23
Tue May 16 2023,Istanbulspor,0-2,0-1,Galatasaray,2022-23
Wed May 17 2023,Buyuksehyr,1-1,1-0,Umraniyespor,2022-23
Wed May 17 2023,Ankaragucu,1-1,0-0,Antalyaspor,2022-23
Wed May 17 2023,Besiktas,3-0,?,Gaziantep,2022-23
Wed May 17 2023,Giresunspor,3-0,?,Hatayspor,2022-23
Wed May 17 2023,Karagumruk,2-3,1-0,Ad. Demirspor,2022-23
Thu May 18 2023,Fenerbahce,3-1,1-0,Trabzonspor,2022-23
Sat May 20 2023,Kasimpasa,1-0,0-0,Istanbulspor,2022-23
Sat May 20 2023,Galatasaray,2-0,1-0,Sivasspor,2022-23
Sat May 20 2023,Kayserispor,0-4,0-2,Alanyaspor,2022-23
Sun May 21 2023,Umraniyespor,1-2,1-1,Ankaragucu,2022-23
Sun May 21 2023,Ad. Demirspor,1-4,1-1,Besiktas,2022-23
Sun May 21 2023,Antalyaspor,0-0,0-0,Buyuksehyr,2022-23
Sun May 21 2023,Gaziantep,0-3,?,Giresunspor,2022-23
Sun May 21 2023,Hatayspor,0-3,?,Fenerbahce,2022-23
Mon May 22 2023,Trabzonspor,4-1,3-1,Karagumruk,2022-23
Tue May 30 2023,Alanyaspor,1-3,0-0,Kasimpasa,2022-23
Tue May 30 2023,Ankaragucu,1-4,1-2,Galatasaray,2022-23
Tue May 30 2023,Buyuksehyr,3-0,?,Gaziantep,2022-23
Tue May 30 2023,Fenerbahce,2-0,1-0,Antalyaspor,2022-23
Tue May 30 2023,Giresunspor,2-4,0-2,Trabzonspor,2022-23
Tue May 30 2023,Hatayspor,0-3,?,Umraniyespor,2022-23
Tue May 30 2023,Istanbulspor,0-2,0-1,Ad. Demirspor,2022-23
Tue May 30 2023,Karagumruk,2-0,2-0,Kayserispor,2022-23
Tue May 30 2023,Sivasspor,1-0,1-0,Konyaspor,2022-23
Sat Jun 3 2023,Konyaspor,1-1,1-1,Karagumruk,2022-23
Sat Jun 3 2023,Ad. Demirspor,2-3,1-2,Buyuksehyr,2022-23
Sat Jun 3 2023,Antalyaspor,3-0,?,Hatayspor,2022-23
Sat Jun 3 2023,Gaziantep,0-3,?,Istanbulspor,2022-23
Sat Jun 3 2023,Kasimpasa,2-5,0-2,Besiktas,2022-23
Sat Jun 3 2023,Kayserispor,0-1,0-1,Ankaragucu,2022-23
Sat Jun 3 2023,Trabzonspor,5-1,4-1,Alanyaspor,2022-23
Sat Jun 3 2023,Umraniyespor,0-1,0-1,Giresunspor,2022-23
Sun Jun 4 2023,Galatasaray,3-0,1-0,Fenerbahce,2022-23
Tue Jun 6 2023,Karagumruk,3-0,1-0,Kasimpasa,2022-23
Tue Jun 6 2023,Sivasspor,1-1,1-1,Kayserispor,2022-23
Tue Jun 6 2023,Buyuksehyr,3-1,1-0,Trabzonspor,2022-23
Wed Jun 7 2023,Ankaragucu,1-2,0-1,Ad. Demirspor,2022-23
Wed Jun 7 2023,Besiktas,3-3,2-1,Konyaspor,2022-23
Wed Jun 7 2023,Fenerbahce,3-0,?,Gaziantep,2022-23
Wed Jun 7 2023,Giresunspor,2-0,1-0,Antalyaspor,2022-23
Wed Jun 7 2023,Hatayspor,0-3,?,Galatasaray,2022-23
Wed Jun 7 2023,Istanbulspor,4-0,1-0,Umraniyespor,2022-23
Fri Aug 11 2023,Trabzonspor,1-0,1-0,Antalyaspor,2023-24
Sat Aug 12 2023,Kasimpasa,3-2,1-0,Ankaragucu,2023-24
Sat Aug 12 2023,Konyaspor,1-1,0-1,Istanbulspor,2023-24
Sat Aug 12 2023,Kayserispor,0-0,0-0,Galatasaray,2023-24
Sat Aug 12 2023,Pendikspor,1-5,0-2,Hatayspor,2023-24
Sun Aug 13 2023,Sivasspor,1-1,1-0,Samsunspor,2023-24
Sun Aug 13 2023,Ad. Demirspor,2-1,1-0,Rizespor,2023-24
Sun Aug 13 2023,Fenerbahce,2-1,2-1,Gaziantep,2023-24
Mon Aug 14 2023,Alanyaspor,2-0,1-0,Buyuksehyr,2023-24
Mon Aug 14 2023,Karagumruk,0-1,0-0,Besiktas,2023-24
Fri Aug 18 2023,Antalyaspor,1-1,0-0,Konyaspor,2023-24
Fri Aug 18 2023,Istanbulspor,1-1,0-0,Kayserispor,2023-24
Sat Aug 19 2023,Rizespor,0-0,0-0,Alanyaspor,2023-24
Sat Aug 19 2023,Galatasaray,2-0,1-0,Trabzonspor,2023-24
Sat Aug 19 2023,Hatayspor,0-0,0-0,Kasimpasa,2023-24
Sun Aug 20 2023,Buyuksehyr,0-2,0-2,Karagumruk,2023-24
Sun Aug 20 2023,Besiktas,1-1,1-0,Pendikspor,2023-24
Sun Aug 20 2023,Gaziantep,1-3,0-2,Sivasspor,2023-24
Mon Aug 21 2023,Ankaragucu,1-1,1-1,Ad. Demirspor,2023-24
Mon Aug 21 2023,Samsunspor,0-2,0-0,Fenerbahce,2023-24
Fri Aug 25 2023,Konyaspor,2-0,0-0,Gaziantep,2023-24
Sat Aug 26 2023,Kasimpasa,1-1,0-1,Pendikspor,2023-24
Sat Aug 26 2023,Trabzonspor,2-3,0-2,Rizespor,2023-24
Sat Aug 26 2023,Sivasspor,1-1,1-1,Antalyaspor,2023-24
Sun Aug 27 2023,Karagumruk,1-1,1-0,Ankaragucu,2023-24
Sun Aug 27 2023,Kayserispor,2-1,2-1,Samsunspor,2023-24
Sun Aug 27 2023,Alanyaspor,0-0,0-0,Hatayspor,2023-24
Fri Sep 1 2023,Kasimpasa,1-5,0-3,Trabzonspor,2023-24
Fri Sep 1 2023,Rizespor,1-0,1-0,Karagumruk,2023-24
Sat Sep 2 2023,Buyuksehyr,0-1,0-0,Konyaspor,2023-24
Sat Sep 2 2023,Pendikspor,1-1,0-0,Alanyaspor,2023-24
Sat Sep 2 2023,Antalyaspor,1-1,1-1,Kayserispor,2023-24
Sat Sep 2 2023,Gaziantep,0-3,0-1,Galatasaray,2023-24
Sun Sep 3 2023,Besiktas,2-0,2-0,Sivasspor,2023-24
Sun Sep 3 2023,Ankaragucu,0-1,0-0,Fenerbahce,2023-24
Sun Sep 3 2023,Hatayspor,3-3,0-1,Ad. Demirspor,2023-24
Sat Sep 16 2023,Kayserispor,2-0,1-0,Gaziantep,2023-24
Sat Sep 16 2023,Konyaspor,1-2,1-0,Rizespor,2023-24
Sat Sep 16 2023,Ad. Demirspor,3-0,2-0,Pendikspor,2023-24
Sat Sep 16 2023,Galatasaray,4-2,3-0,Samsunspor,2023-24
Sun Sep 17 2023,Fenerbahce,3-2,1-1,Antalyaspor,2023-24
Sun Sep 17 2023,Istanbulspor,0-2,0-0,Buyuksehyr,2023-24
Sun Sep 17 2023,Alanyaspor,3-3,2-1,Kasimpasa,2023-24
Sun Sep 17 2023,Trabzonspor,3-0,2-0,Besiktas,2023-24
Mon Sep 18 2023,Karagumruk,0-0,0-0,Hatayspor,2023-24
Mon Sep 18 2023,Sivasspor,1-3,1-1,Ankaragucu,2023-24
Fri Sep 22 2023,Gaziantep,2-0,0-0,Istanbulspor,2023-24
Sat Sep 23 2023,Pendikspor,1-1,1-0,Karagumruk,2023-24
Sat Sep 23 2023,Rizespor,1-1,1-1,Sivasspor,2023-24
Sat Sep 23 2023,Antalyaspor,2-0,2-0,Samsunspor,2023-24
Sat Sep 23 2023,Buyuksehyr,1-2,0-1,Galatasaray,2023-24
Sun Sep 24 2023,Ankaragucu,1-1,1-1,Konyaspor,2023-24
Sun Sep 24 2023,Besiktas,2-1,0-0,Kayserispor,2023-24
Sun Sep 24 2023,Alanyaspor,0-1,0-1,Fenerbahce,2023-24
Sun Sep 24 2023,Kasimpasa,2-1,1-0,Ad. Demirspor,2023-24
Mon Sep 25 2023,Hatayspor,3-2,0-1,Trabzonspor,2023-24
Tue Sep 26 2023,Istanbulspor,0-1,0-1,Galatasaray,2023-24
Wed Sep 27 2023,Ad. Demirspor,4-2,2-0,Besiktas,2023-24
Thu Sep 28 2023,Fenerbahce,4-0,3-0,Buyuksehyr,2023-24
Fri Sep 29 2023,Samsunspor,1-2,0-2,Gaziantep,2023-24
Sat Sep 30 2023,Sivasspor,0-0,0-0,Hatayspor,2023-24
Sat Sep 30 2023,Istanbulspor,1-2,1-0,Antalyaspor,2023-24
Sat Sep 30 2023,Trabzonspor,2-1,2-1,Pendikspor,2023-24
Sat Sep 30 2023,Galatasaray,2-1,0-0,Ankaragucu,2023-24
Sun Oct 1 2023,Karagumruk,2-3,1-3,Kasimpasa,2023-24
Sun Oct 1 2023,Fenerbahce,5-0,1-0,Rizespor,2023-24
Sun Oct 1 2023,Ad. Demirspor,4-0,1-0,Alanyaspor,2023-24
Sun Oct 1 2023,Konyaspor,0-2,0-1,Besiktas,2023-24
Mon Oct 2 2023,Kayserispor,0-0,0-0,Buyuksehyr,2023-24
Fri Oct 6 2023,Ad. Demirspor,1-0,1-0,Trabzonspor,2023-24
Fri Oct 6 2023,Alanyaspor,2-1,1-0,Karagumruk,2023-24
Sat Oct 7 2023,Pendikspor,2-3,0-1,Sivasspor,2023-24
Sat Oct 7 2023,Ankaragucu,3-0,0-0,Kayserispor,2023-24
Sat Oct 7 2023,Antalyaspor,0-2,0-0,Galatasaray,2023-24
Sat Oct 7 2023,Buyuksehyr,2-0,2-0,Gaziantep,2023-24
