Date,Team 1,FT,HT,Team 2,Season
Sun Oct 8 2023,Rizespor,1-0,0-0,Samsunspor,2023-24
Sun Oct 8 2023,Besiktas,2-0,1-0,Istanbulspor,2023-24
Sun Oct 8 2023,Hatayspor,3-1,1-1,Konyaspor,2023-24
Sun Oct 8 2023,Kasimpasa,0-2,0-2,Fenerbahce,2023-24
Sat Oct 21 2023,Kayserispor,3-1,1-0,Rizespor,2023-24
Sat Oct 21 2023,Gaziantep,1-0,0-0,Antalyaspor,2023-24
Sat Oct 21 2023,Konyaspor,1-2,0-0,Pendikspor,2023-24
Sat Oct 21 2023,Galatasaray,2-1,1-0,Besiktas,2023-24
Sun Oct 22 2023,Sivasspor,0-1,0-0,Kasimpasa,2023-24
Sun Oct 22 2023,Istanbulspor,2-1,1-1,Ankaragucu,2023-24
Sun Oct 22 2023,Fenerbahce,4-2,3-0,Hatayspor,2023-24
Sun Oct 22 2023,Samsunspor,0-0,0-0,Buyuksehyr,2023-24
Mon Oct 23 2023,Karagumruk,2-0,0-0,Ad. Demirspor,2023-24
Mon Oct 23 2023,Trabzonspor,1-0,0-0,Alanyaspor,2023-24
Fri Oct 27 2023,Hatayspor,1-2,0-1,Kayserispor,2023-24
Fri Oct 27 2023,Kasimpasa,3-1,1-0,Istanbulspor,2023-24
Sat Oct 28 2023,Alanyaspor,1-2,0-0,Sivasspor,2023-24
Sat Oct 28 2023,Ad. Demirspor,3-0,0-0,Konyaspor,2023-24
Sat Oct 28 2023,Rizespor,0-1,0-0,Galatasaray,2023-24
Sun Oct 29 2023,Karagumruk,0-0,0-0,Trabzonspor,2023-24
Sun Oct 29 2023,Ankaragucu,2-0,0-0,Samsunspor,2023-24
Sun Oct 29 2023,Antalyaspor,1-0,1-0,Buyuksehyr,2023-24
Sun Oct 29 2023,Pendikspor,0-5,0-2,Fenerbahce,2023-24
Mon Oct 30 2023,Besiktas,2-0,0-0,Gaziantep,2023-24
Fri Nov 3 2023,Galatasaray,2-1,1-0,Kasimpasa,2023-24
Sat Nov 4 2023,Istanbulspor,2-4,1-2,Pendikspor,2023-24
Sat Nov 4 2023,Samsunspor,2-1,0-1,Hatayspor,2023-24
Sat Nov 4 2023,Fenerbahce,2-3,0-1,Trabzonspor,2023-24
Sun Nov 5 2023,Sivasspor,1-1,1-0,Ad. Demirspor,2023-24
Sun Nov 5 2023,Buyuksehyr,3-3,2-2,Ankaragucu,2023-24
Sun Nov 5 2023,Konyaspor,1-1,0-0,Karagumruk,2023-24
Sun Nov 5 2023,Antalyaspor,3-2,0-1,Besiktas,2023-24
Mon Nov 6 2023,Gaziantep,2-0,1-0,Rizespor,2023-24
Mon Nov 6 2023,Kayserispor,1-0,0-0,Alanyaspor,2023-24
Wed Nov 8 2023,Samsunspor,2-1,0-1,Istanbulspor,2023-24
Fri Nov 10 2023,Ankaragucu,0-4,0-2,Antalyaspor,2023-24
Fri Nov 10 2023,Trabzonspor,2-1,0-0,Konyaspor,2023-24
Sat Nov 11 2023,Kasimpasa,3-4,1-3,Kayserispor,2023-24
Sat Nov 11 2023,Alanyaspor,0-3,0-2,Gaziantep,2023-24
Sat Nov 11 2023,Karagumruk,3-0,1-0,Sivasspor,2023-24
Sat Nov 11 2023,Hatayspor,2-1,1-1,Galatasaray,2023-24
Sun Nov 12 2023,Pendikspor,1-0,0-0,Samsunspor,2023-24
Sun Nov 12 2023,Besiktas,1-0,0-0,Buyuksehyr,2023-24
Sun Nov 12 2023,Rizespor,1-0,1-0,Istanbulspor,2023-24
Sun Nov 12 2023,Ad. Demirspor,0-0,0-0,Fenerbahce,2023-24
Sat Nov 25 2023,Istanbulspor,2-1,1-0,Hatayspor,2023-24
Sat Nov 25 2023,Gaziantep,0-1,0-1,Ankaragucu,2023-24
Sat Nov 25 2023,Konyaspor,2-0,0-0,Kasimpasa,2023-24
Sat Nov 25 2023,Galatasaray,4-0,2-0,Alanyaspor,2023-24
Sun Nov 26 2023,Kayserispor,1-1,0-1,Ad. Demirspor,2023-24
Sun Nov 26 2023,Antalyaspor,0-0,0-0,Rizespor,2023-24
Sun Nov 26 2023,Samsunspor,1-2,1-1,Besiktas,2023-24
Sun Nov 26 2023,Fenerbahce,2-1,0-1,Karagumruk,2023-24
Mon Nov 27 2023,Buyuksehyr,4-1,1-1,Pendikspor,2023-24
Mon Nov 27 2023,Sivasspor,3-3,2-2,Trabzonspor,2023-24
Fri Dec 1 2023,Hatayspor,3-3,1-1,Antalyaspor,2023-24
Fri Dec 1 2023,Karagumruk,3-0,1-0,Istanbulspor,2023-24
Sat Dec 2 2023,Alanyaspor,2-2,2-1,Konyaspor,2023-24
Sat Dec 2 2023,Rizespor,3-2,2-2,Buyuksehyr,2023-24
Sat Dec 2 2023,Ad. Demirspor,2-3,1-2,Samsunspor,2023-24
Sat Dec 2 2023,Pendikspor,0-2,0-0,Galatasaray,2023-24
Sun Dec 3 2023,Kasimpasa,4-2,3-0,Gaziantep,2023-24
Sun Dec 3 2023,Trabzonspor,0-1,0-0,Kayserispor,2023-24
Sun Dec 3 2023,Ankaragucu,1-1,1-0,Besiktas,2023-24
Mon Dec 4 2023,Fenerbahce,4-1,2-0,Sivasspor,2023-24
Fri Dec 8 2023,Galatasaray,3-1,2-1,Ad. Demirspor,2023-24
Sat Dec 9 2023,Antalyaspor,2-1,2-1,Karagumruk,2023-24
Sat Dec 9 2023,Samsunspor,4-2,2-0,Kasimpasa,2023-24
Sat Dec 9 2023,Besiktas,1-3,1-1,Fenerbahce,2023-24
Sun Dec 10 2023,Istanbulspor,0-1,0-0,Alanyaspor,2023-24
Sun Dec 10 2023,Buyuksehyr,1-0,1-0,Hatayspor,2023-24
Sun Dec 10 2023,Kayserispor,2-0,0-0,Pendikspor,2023-24
Sun Dec 10 2023,Gaziantep,1-3,0-0,Trabzonspor,2023-24
Mon Dec 11 2023,Ankaragucu,1-1,1-0,Rizespor,2023-24
Mon Dec 11 2023,Konyaspor,0-1,0-1,Sivasspor,2023-24
Tue Dec 19 2023,Buyuksehyr,3-1,1-1,Sivasspor,2023-24
Tue Dec 19 2023,Gaziantep,2-2,1-0,Ad. Demirspor,2023-24
Tue Dec 19 2023,Istanbulspor,0-3,?,Trabzonspor,2023-24
Wed Dec 20 2023,Kayserispor,3-4,1-2,Fenerbahce,2023-24
Wed Dec 20 2023,Antalyaspor,0-0,0-0,Kasimpasa,2023-24
Wed Dec 20 2023,Galatasaray,1-0,1-0,Karagumruk,2023-24
Thu Dec 21 2023,Rizespor,5-1,3-1,Pendikspor,2023-24
Thu Dec 21 2023,Samsunspor,1-1,0-1,Konyaspor,2023-24
Thu Dec 21 2023,Ankaragucu,0-0,0-0,Hatayspor,2023-24
Thu Dec 21 2023,Besiktas,1-3,1-1,Alanyaspor,2023-24
Sat Dec 23 2023,Sivasspor,1-0,0-0,Istanbulspor,2023-24
Sat Dec 23 2023,Karagumruk,0-3,0-1,Gaziantep,2023-24
Sat Dec 23 2023,Trabzonspor,1-1,1-1,Buyuksehyr,2023-24
Sun Dec 24 2023,Konyaspor,2-0,0-0,Kayserispor,2023-24
Sun Dec 24 2023,Ad. Demirspor,2-1,2-0,Antalyaspor,2023-24
Sun Dec 24 2023,Fenerbahce,0-0,0-0,Galatasaray,2023-24
Mon Dec 25 2023,Alanyaspor,3-1,2-0,Samsunspor,2023-24
Mon Dec 25 2023,Kasimpasa,2-2,1-1,Rizespor,2023-24
Mon Dec 25 2023,Hatayspor,1-2,0-1,Besiktas,2023-24
Mon Dec 25 2023,Pendikspor,1-1,0-1,Ankaragucu,2023-24
Fri Jan 5 2024,Gaziantep,2-2,1-0,Pendikspor,2023-24
Fri Jan 5 2024,Antalyaspor,0-0,0-0,Alanyaspor,2023-24
Fri Jan 5 2024,Besiktas,1-3,1-1,Kasimpasa,2023-24
Sat Jan 6 2024,Rizespor,2-0,1-0,Hatayspor,2023-24
Sat Jan 6 2024,Buyuksehyr,0-0,0-0,Ad. Demirspor,2023-24
Sat Jan 6 2024,Ankaragucu,0-1,0-1,Trabzonspor,2023-24
Sat Jan 6 2024,Samsunspor,1-0,0-0,Karagumruk,2023-24
Sun Jan 7 2024,Kayserispor,1-3,1-1,Sivasspor,2023-24
Sun Jan 7 2024,Istanbulspor,1-5,1-4,Fenerbahce,2023-24
Sun Jan 7 2024,Galatasaray,3-0,0-0,Konyaspor,2023-24
Tue Jan 9 2024,Alanyaspor,1-1,0-0,Ankaragucu,2023-24
Tue Jan 9 2024,Pendikspor,0-1,0-1,Antalyaspor,2023-24
Tue Jan 9 2024,Kasimpasa,0-3,0-1,Buyuksehyr,2023-24
Tue Jan 9 2024,Rizespor,0-4,0-2,Besiktas,2023-24
Wed Jan 10 2024,Hatayspor,0-0,0-0,Gaziantep,2023-24
Wed Jan 10 2024,Karagumruk,4-1,3-1,Kayserispor,2023-24
Wed Jan 10 2024,Ad. Demirspor,2-2,1-0,Istanbulspor,2023-24
Wed Jan 10 2024,Fenerbahce,7-1,5-0,Konyaspor,2023-24
Thu Jan 11 2024,Sivasspor,1-1,0-1,Galatasaray,2023-24
Thu Jan 11 2024,Trabzonspor,2-1,2-0,Samsunspor,2023-24
Sat Jan 13 2024,Ankaragucu,3-1,1-1,Kasimpasa,2023-24
Sat Jan 13 2024,Hatayspor,1-1,0-0,Pendikspor,2023-24
Sat Jan 13 2024,Buyuksehyr,3-2,2-1,Alanyaspor,2023-24
Sat Jan 13 2024,Besiktas,3-0,0-0,Karagumruk,2023-24
Sat Jan 13 2024,Rizespor,1-0,0-0,Ad. Demirspor,2023-24
Sun Jan 14 2024,Istanbulspor,0-0,0-0,Konyaspor,2023-24
Sun Jan 14 2024,Antalyaspor,1-1,0-1,Trabzonspor,2023-24
Sun Jan 14 2024,Samsunspor,2-0,2-0,Sivasspor,2023-24
Sun Jan 14 2024,Gaziantep,0-1,0-0,Fenerbahce,2023-24
Mon Jan 15 2024,Galatasaray,2-1,1-0,Kayserispor,2023-24
Sat Jan 20 2024,Kasimpasa,3-0,0-0,Hatayspor,2023-24
Sat Jan 20 2024,Alanyaspor,2-1,0-0,Rizespor,2023-24
Sat Jan 20 2024,Karagumruk,1-1,0-1,Buyuksehyr,2023-24
Sat Jan 20 2024,Ad. Demirspor,1-1,0-0,Ankaragucu,2023-24
Sat Jan 20 2024,Pendikspor,4-0,1-0,Besiktas,2023-24
Sun Jan 21 2024,Sivasspor,2-2,2-2,Gaziantep,2023-24
Sun Jan 21 2024,Fenerbahce,1-1,1-0,Samsunspor,2023-24
Sun Jan 21 2024,Konyaspor,1-1,1-0,Antalyaspor,2023-24
Sun Jan 21 2024,Trabzonspor,1-5,0-1,Galatasaray,2023-24
Mon Jan 22 2024,Kayserispor,0-1,0-0,Istanbulspor,2023-24
Tue Jan 23 2024,Hatayspor,1-1,1-0,Alanyaspor,2023-24
Tue Jan 23 2024,Besiktas,0-0,0-0,Ad. Demirspor,2023-24
Tue Jan 23 2024,Pendikspor,3-2,2-2,Kasimpasa,2023-24
Wed Jan 24 2024,Ankaragucu,2-0,1-0,Karagumruk,2023-24
Wed Jan 24 2024,Gaziantep,1-1,1-1,Konyaspor,2023-24
Wed Jan 24 2024,Antalyaspor,2-1,2-1,Sivasspor,2023-24
Wed Jan 24 2024,Buyuksehyr,0-1,0-0,Fenerbahce,2023-24
Thu Jan 25 2024,Samsunspor,2-0,1-0,Kayserispor,2023-24
Thu Jan 25 2024,Galatasaray,3-1,1-1,Istanbulspor,2023-24
Thu Jan 25 2024,Rizespor,1-0,0-0,Trabzonspor,2023-24
Sat Jan 27 2024,Alanyaspor,1-1,0-0,Pendikspor,2023-24
Sat Jan 27 2024,Ad. Demirspor,0-1,0-1,Hatayspor,2023-24
Sun Jan 28 2024,Konyaspor,2-3,2-0,Buyuksehyr,2023-24
Sun Jan 28 2024,Karagumruk,4-0,1-0,Rizespor,2023-24
Sun Jan 28 2024,Sivasspor,1-0,1-0,Besiktas,2023-24
Sun Jan 28 2024,Fenerbahce,2-1,2-1,Ankaragucu,2023-24
Mon Jan 29 2024,Istanbulspor,1-1,0-0,Samsunspor,2023-24
Mon Jan 29 2024,Kayserispor,1-1,0-1,Antalyaspor,2023-24
Mon Jan 29 2024,Galatasaray,2-1,0-1,Gaziantep,2023-24
Mon Jan 29 2024,Trabzonspor,2-3,1-0,Kasimpasa,2023-24
Fri Feb 2 2024,Ankaragucu,0-0,0-0,Sivasspor,2023-24
Fri Feb 2 2024,Hatayspor,3-1,1-0,Karagumruk,2023-24
Fri Feb 2 2024,Samsunspor,0-2,0-2,Galatasaray,2023-24
Sat Feb 3 2024,Rizespor,0-0,0-0,Konyaspor,2023-24
Sat Feb 3 2024,Buyuksehyr,2-0,1-0,Istanbulspor,2023-24
Sat Feb 3 2024,Antalyaspor,0-2,0-1,Fenerbahce,2023-24
Sat Feb 3 2024,Gaziantep,1-1,0-1,Kayserispor,2023-24
Sun Feb 4 2024,Pendikspor,2-1,2-0,Ad. Demirspor,2023-24
Sun Feb 4 2024,Kasimpasa,2-1,1-1,Alanyaspor,2023-24
Sun Feb 4 2024,Besiktas,2-0,1-0,Trabzonspor,2023-24
Fri Feb 9 2024,Ad. Demirspor,1-3,0-2,Kasimpasa,2023-24
Sat Feb 10 2024,Karagumruk,2-0,1-0,Pendikspor,2023-24
Sat Feb 10 2024,Galatasaray,2-0,2-0,Buyuksehyr,2023-24
Sun Feb 11 2024,Sivasspor,1-0,1-0,Rizespor,2023-24
Sun Feb 11 2024,Istanbulspor,1-3,1-1,Gaziantep,2023-24
Sun Feb 11 2024,Konyaspor,1-0,1-0,Ankaragucu,2023-24
Sun Feb 11 2024,Fenerbahce,2-2,0-1,Alanyaspor,2023-24
Mon Feb 12 2024,Trabzonspor,2-0,0-0,Hatayspor,2023-24
Mon Feb 12 2024,Kayserispor,0-0,0-0,Besiktas,2023-24
Mon Feb 12 2024,Samsunspor,2-0,0-0,Antalyaspor,2023-24
Fri Feb 16 2024,Kasimpasa,1-1,1-1,Karagumruk,2023-24
Sat Feb 17 2024,Antalyaspor,2-2,2-0,Istanbulspor,2023-24
Sat Feb 17 2024,Hatayspor,1-1,0-1,Sivasspor,2023-24
Sat Feb 17 2024,Rizespor,1-3,1-0,Fenerbahce,2023-24
Sun Feb 18 2024,Alanyaspor,3-3,2-0,Ad. Demirspor,2023-24
Sun Feb 18 2024,Gaziantep,1-1,0-0,Samsunspor,2023-24
Sun Feb 18 2024,Pendikspor,0-2,0-0,Trabzonspor,2023-24
Sun Feb 18 2024,Ankaragucu,0-3,0-3,Galatasaray,2023-24
Mon Feb 19 2024,Besiktas,2-0,0-0,Konyaspor,2023-24
Mon Feb 19 2024,Buyuksehyr,2-3,0-2,Kayserispor,2023-24
Fri Feb 23 2024,Samsunspor,3-0,1-0,Rizespor,2023-24
Sat Feb 24 2024,Kayserispor,3-2,0-2,Ankaragucu,2023-24
Sat Feb 24 2024,Gaziantep,0-2,0-0,Buyuksehyr,2023-24
Sat Feb 24 2024,Fenerbahce,2-1,0-0,Kasimpasa,2023-24
Sat Feb 24 2024,Konyaspor,2-0,0-0,Hatayspor,2023-24
Sun Feb 25 2024,Sivasspor,4-1,1-1,Pendikspor,2023-24
Sun Feb 25 2024,Karagumruk,1-1,1-0,Alanyaspor,2023-24
Sun Feb 25 2024,Trabzonspor,1-0,1-0,Ad. Demirspor,2023-24
Sun Feb 25 2024,Istanbulspor,0-2,0-1,Besiktas,2023-24
Mon Feb 26 2024,Galatasaray,2-1,2-1,Antalyaspor,2023-24
Fri Mar 1 2024,Kasimpasa,0-0,0-0,Sivasspor,2023-24
Sat Mar 2 2024,Ankaragucu,1-1,0-1,Istanbulspor,2023-24
Sat Mar 2 2024,Rizespor,3-0,0-0,Kayserispor,2023-24
Sat Mar 2 2024,Hatayspor,0-2,0-2,Fenerbahce,2023-24
Sun Mar 3 2024,Buyuksehyr,1-0,0-0,Samsunspor,2023-24
Sun Mar 3 2024,Pendikspor,0-2,0-1,Konyaspor,2023-24
Sun Mar 3 2024,Besiktas,0-1,0-1,Galatasaray,2023-24
Mon Mar 4 2024,Ad. Demirspor,1-0,1-0,Karagumruk,2023-24
Mon Mar 4 2024,Alanyaspor,3-1,2-0,Trabzonspor,2023-24
Mon Mar 4 2024,Antalyaspor,1-0,1-0,Gaziantep,2023-24
Fri Mar 8 2024,Galatasaray,6-2,4-1,Rizespor,2023-24
Sat Mar 9 2024,Sivasspor,1-2,0-0,Alanyaspor,2023-24
Sat Mar 9 2024,Konyaspor,2-2,2-1,Ad. Demirspor,2023-24
Sat Mar 9 2024,Buyuksehyr,1-0,0-0,Antalyaspor,2023-24
Sat Mar 9 2024,Trabzonspor,5-1,1-1,Karagumruk,2023-24
Sun Mar 10 2024,Kayserispor,1-1,1-1,Hatayspor,2023-24
Sun Mar 10 2024,Istanbulspor,1-2,1-0,Kasimpasa,2023-24
Sun Mar 10 2024,Samsunspor,2-1,1-1,Ankaragucu,2023-24
Sun Mar 10 2024,Fenerbahce,4-1,0-1,Pendikspor,2023-24
Mon Mar 11 2024,Gaziantep,2-0,1-0,Besiktas,2023-24
Fri Mar 15 2024,Karagumruk,1-1,0-1,Konyaspor,2023-24
Fri Mar 15 2024,Pendikspor,1-0,0-0,Istanbulspor,2023-24
Sat Mar 16 2024,Alanyaspor,1-0,0-0,Kayserispor,2023-24
Sat Mar 16 2024,Ankaragucu,2-1,0-0,Buyuksehyr,2023-24
Sat Mar 16 2024,Ad. Demirspor,4-1,1-0,Sivasspor,2023-24
Sat Mar 16 2024,Besiktas,1-2,0-2,Antalyaspor,2023-24
Sun Mar 17 2024,Rizespor,3-1,0-0,Gaziantep,2023-24
Sun Mar 17 2024,Hatayspor,3-0,1-0,Samsunspor,2023-24
Sun Mar 17 2024,Kasimpasa,3-4,1-1,Galatasaray,2023-24
Sun Mar 17 2024,Trabzonspor,2-3,0-2,Fenerbahce,2023-24
Tue Apr 2 2024,Istanbulspor,0-4,0-2,Rizespor,2023-24
Tue Apr 2 2024,Antalyaspor,1-1,1-0,Ankaragucu,2023-24
Tue Apr 2 2024,Galatasaray,1-0,1-0,Hatayspor,2023-24
Tue Apr 2 2024,Gaziantep,0-3,0-2,Alanyaspor,2023-24
Wed Apr 3 2024,Sivasspor,1-0,0-0,Karagumruk,2023-24
Wed Apr 3 2024,Fenerbahce,4-2,1-1,Ad. Demirspor,2023-24
Wed Apr 3 2024,Kayserispor,0-2,0-1,Kasimpasa,2023-24
Wed Apr 3 2024,Konyaspor,1-3,0-1,Trabzonspor,2023-24
Thu Apr 4 2024,Buyuksehyr,1-1,0-1,Besiktas,2023-24
Thu Apr 4 2024,Samsunspor,0-0,0-0,Pendikspor,2023-24
Fri Apr 12 2024,Trabzonspor,0-1,0-0,Sivasspor,2023-24
Sat Apr 13 2024,Kasimpasa,0-2,0-1,Konyaspor,2023-24
Sat Apr 13 2024,Ankaragucu,3-1,1-1,Gaziantep,2023-24
Sat Apr 13 2024,Ad. Demirspor,0-0,0-0,Kayserispor,2023-24
Sat Apr 13 2024,Besiktas,1-1,1-0,Samsunspor,2023-24
Sun Apr 14 2024,Pendikspor,2-3,1-1,Buyuksehyr,2023-24
Sun Apr 14 2024,Hatayspor,0-3,0-0,Istanbulspor,2023-24
Sun Apr 14 2024,Rizespor,3-0,1-0,Antalyaspor,2023-24
Sun Apr 14 2024,Karagumruk,1-2,1-0,Fenerbahce,2023-24
Mon Apr 15 2024,Alanyaspor,0-4,0-0,Galatasaray,2023-24
Fri Apr 19 2024,Besiktas,2-0,1-0,Ankaragucu,2023-24
Sat Apr 20 2024,Istanbulspor,1-2,0-0,Karagumruk,2023-24
Sat Apr 20 2024,Konyaspor,0-2,0-1,Alanyaspor,2023-24
Sat Apr 20 2024,Kayserispor,1-2,0-1,Trabzonspor,2023-24
Sat Apr 20 2024,Samsunspor,1-1,0-1,Ad. Demirspor,2023-24
Sun Apr 21 2024,Buyuksehyr,2-0,1-0,Rizespor,2023-24
Sun Apr 21 2024,Antalyaspor,2-1,0-1,Hatayspor,2023-24
Sun Apr 21 2024,Galatasaray,4-1,2-0,Pendikspor,2023-24
Sun Apr 21 2024,Gaziantep,2-0,2-0,Kasimpasa,2023-24
Mon Apr 22 2024,Sivasspor,2-2,0-1,Fenerbahce,2023-24
Fri Apr 26 2024,Ad. Demirspor,0-3,0-0,Galatasaray,2023-24
Sat Apr 27 2024,Kasimpasa,1-0,1-0,Samsunspor,2023-24
Sat Apr 27 2024,Sivasspor,1-0,0-0,Konyaspor,2023-24
Sat Apr 27 2024,Fenerbahce,2-1,1-0,Besiktas,2023-24
Sat Apr 27 2024,Hatayspor,1-2,0-1,Buyuksehyr,2023-24
Sun Apr 28 2024,Alanyaspor,6-0,3-0,Istanbulspor,2023-24
Sun Apr 28 2024,Pendikspor,1-2,1-1,Kayserispor,2023-24
Sun Apr 28 2024,Rizespor,2-2,2-0,Ankaragucu,2023-24
Sun Apr 28 2024,Trabzonspor,4-2,0-2,Gaziantep,2023-24
Mon Apr 29 2024,Karagumruk,4-1,1-0,Antalyaspor,2023-24
Fri May 3 2024,Ankaragucu,1-1,1-0,Alanyaspor,2023-24
Fri May 3 2024,Besiktas,3-2,1-1,Rizespor,2023-24
Sat May 4 2024,Istanbulspor,0-1,0-1,Ad. Demirspor,2023-24
Sat May 4 2024,Kayserispor,2-2,1-0,Karagumruk,2023-24
Sat May 4 2024,Samsunspor,3-1,3-1,Trabzonspor,2023-24
Sun May 5 2024,Buyuksehyr,4-1,2-0,Kasimpasa,2023-24
Sun May 5 2024,Galatasaray,6-1,2-0,Sivasspor,2023-24
Sun May 5 2024,Gaziantep,1-1,1-1,Hatayspor,2023-24
Mon May 6 2024,Antalyaspor,1-2,1-2,Pendikspor,2023-24
Mon May 6 2024,Konyaspor,0-0,0-0,Fenerbahce,2023-24
Sun May 12 2024,Ad. Demirspor,1-6,1-3,Gaziantep,2023-24
Sun May 12 2024,Alanyaspor,1-1,0-0,Besiktas,2023-24
Sun May 12 2024,Fenerbahce,3-0,2-0,Kayserispor,2023-24
Sun May 12 2024,Hatayspor,2-1,0-0,Ankaragucu,2023-24
Sun May 12 2024,Karagumruk,2-3,1-1,Galatasaray,2023-24
Sun May 12 2024,Kasimpasa,3-1,2-0,Antalyaspor,2023-24
Sun May 12 2024,Konyaspor,3-0,3-0,Samsunspor,2023-24
Sun May 12 2024,Pendikspor,2-1,0-1,Rizespor,2023-24
Sun May 12 2024,Sivasspor,0-1,0-1,Buyuksehyr,2023-24
Sun May 12 2024,Trabzonspor,3-0,2-0,Istanbulspor,2023-24
Fri May 17 2024,Istanbulspor,1-3,0-2,Sivasspor,2023-24
Fri May 17 2024,Antalyaspor,2-1,1-0,Ad. Demirspor,2023-24
Sat May 18 2024,Ankaragucu,0-0,0-0,Pendikspor,2023-24
Sat May 18 2024,Besiktas,2-2,0-1,Hatayspor,2023-24
Sat May 18 2024,Buyuksehyr,0-1,0-1,Trabzonspor,2023-24
Sat May 18 2024,Gaziantep,3-1,0-0,Karagumruk,2023-24
Sat May 18 2024,Kayserispor,2-2,1-1,Konyaspor,2023-24
Sat May 18 2024,Rizespor,0-0,0-0,Kasimpasa,2023-24
Sat May 18 2024,Samsunspor,1-1,0-1,Alanyaspor,2023-24
Sun May 19 2024,Galatasaray,0-1,0-0,Fenerbahce,2023-24
Fri May 24 2024,Alanyaspor,1-1,1-0,Antalyaspor,2023-24
Sat May 25 2024,Karagumruk,3-1,1-0,Samsunspor,2023-24
Sat May 25 2024,Sivasspor,2-1,1-1,Kayserispor,2023-24
Sun May 26 2024,Ad. Demirspor,2-6,1-4,Buyuksehyr,2023-24
Sun May 26 2024,Fenerbahce,6-0,3-0,Istanbulspor,2023-24
Sun May 26 2024,Hatayspor,2-0,1-0,Rizespor,2023-24
Sun May 26 2024,Kasimpasa,2-1,1-0,Besiktas,2023-24
Sun May 26 2024,Konyaspor,1-3,0-1,Galatasaray,2023-24
Sun May 26 2024,Pendikspor,0-1,0-1,Gaziantep,2023-24
Sun May 26 2024,Trabzonspor,4-2,0-1,Ankaragucu,2023-24
